case_id,event_time
SYN-00042,2026-08-11
SYN-00043,2026-08-11
SYN-00044,2025-10-22
SYN-00044,2025-12-23
SYN-00044,2025-12-23
SYN-00044,2025-12-23
SYN-00045,2026-02-02
SYN-00045,2026-07-04
SYN-00045,2026-07-04
SYN-00046,2026-02-03
SYN-00046,2026-08-19
SYN-00046,2026-08-19
SYN-00047,2025-11-01
SYN-00047,2025-12-11
SYN-00047,2025-12-11
SYN-00048,2026-01-21
SYN-00048,2026-02-21
SYN-00048,2026-02-21
SYN-00049,2026-07-05
SYN-00049,2026-10-30
SYN-00049,2026-10-30
SYN-00050,2026-03-05
SYN-00050,2026-05-10
SYN-00050,2026-05-10
SYN-00051,2026-08-20
SYN-00051,2026-09-25
SYN-00051,2026-09-25
SYN-00052,2025-11-21
SYN-00052,2026-03-20
SYN-00052,2026-03-20
SYN-00053,2025-12-31
SYN-00053,2026-02-26
SYN-00053,2026-02-26
SYN-00054,2025-10-25
SYN-00054,2026-01-17
SYN-00054,2026-01-17
SYN-00055,2025-09-27
SYN-00055,2025-12-01
SYN-00055,2025-12-01
SYN-00056,2026-05-22
SYN-00056,2026-09-03
SYN-00056,2026-09-03
SYN-00057,2026-06-16
SYN-00057,2026-08-09
SYN-00057,2026-08-09
SYN-00058,2026-05-30
SYN-00058,2026-06-29
SYN-00058,2026-06-29
SYN-00059,2025-11-27
SYN-00059,2026-05-23
SYN-00059,2026-05-23
SYN-00060,2026-03-30
SYN-00060,2026-07-27
SYN-00060,2026-07-27
SYN-00061,2026-05-26
SYN-00061,2026-12-02
SYN-00061,2026-12-02
SYN-00062,2025-12-18
SYN-00062,2026-04-26
SYN-00062,2026-04-26
SYN-00063,2026-06-13
SYN-00063,2026-07-21
SYN-00063,2026-07-21
SYN-00064,2026-02-07
SYN-00064,2026-04-27
SYN-00064,2026-04-27
SYN-00065,2026-01-18
SYN-00065,2026-05-29
SYN-00065,2026-05-29
SYN-00066,2026-02-19
SYN-00066,2026-08-16
SYN-00066,2026-08-16
SYN-00067,2026-07-19
SYN-00067,2026-12-19
SYN-00067,2026-12-19
SYN-00068,2025-12-09
SYN-00068,2026-02-21
SYN-00068,2026-02-21
SYN-00069,2026-01-02
SYN-00069,2026-02-18
SYN-00069,2026-02-18
SYN-00070,2026-05-22
SYN-00070,2026-08-22
SYN-00070,2026-08-22
SYN-00071,2026-07-20
SYN-00071,2026-09-20
SYN-00071,2026-09-20
SYN-00072,2025-10-06
SYN-00072,2026-02-25
SYN-00072,2026-02-25
SYN-00073,2026-08-09
SYN-00073,2026-11-09
SYN-00073,2026-11-09
SYN-00073,2026-11-09
SYN-00074,2026-05-16
SYN-00074,2026-11-07
SYN-00074,2026-11-07
SYN-00075,2026-05-09
SYN-00075,2026-11-13
SYN-00075,2026-11-13
SYN-00076,2026-05-02
SYN-00076,2026-08-14
SYN-00076,2026-08-14
SYN-00077,2026-08-19
SYN-00077,2026-12-12
SYN-00077,2026-12-12
SYN-00078,2025-10-14
SYN-00078,2025-11-19
SYN-00078,2025-11-19
SYN-00079,2026-02-11
SYN-00079,2026-04-11
SYN-00079,2026-04-11
SYN-00080,2025-09-09
SYN-00080,2025-12-29
SYN-00080,2025-12-29
SYN-00081,2025-12-20
SYN-00081,2026-01-28
SYN-00081,2026-01-28
SYN-00082,2026-07-19
SYN-00082,2026-07-19
SYN-00082,2026-11-16
SYN-00082,2026-11-16
SYN-00083,2025-11-25
SYN-00083,2026-03-19
SYN-00083,2026-03-19
SYN-00084,2026-06-12
SYN-00084,2026-08-12
SYN-00084,2026-08-12
SYN-00085,2026-07-23
SYN-00085,2026-07-23
SYN-00085,2026-12-27
SYN-00085,2026-12-27
SYN-00086,2026-02-13
SYN-00086,2026-07-31
SYN-00086,2026-07-31
SYN-00087,2026-04-06
SYN-00087,2026-09-17
SYN-00087,2026-09-17
SYN-00087,2026-09-17
SYN-00088,2026-08-21
SYN-00089,2026-07-23
SYN-00089,2026-12-02
SYN-00089,2026-12-02
SYN-00090,2026-07-18
SYN-00090,2026-09-17
SYN-00090,2026-09-17
SYN-00091,2026-04-22
SYN-00091,2026-08-03
SYN-00091,2026-08-03
SYN-00092,2026-05-20
SYN-00092,2026-09-20
SYN-00092,2026-09-20
SYN-00092,2026-09-20
SYN-00093,2025-09-10
SYN-00093,2026-03-17
SYN-00093,2026-03-17
SYN-00094,2026-06-18
SYN-00094,2027-01-02
SYN-00094,2027-01-02
SYN-00095,2026-05-23
SYN-00095,2026-11-25
SYN-00095,2026-11-25
SYN-00096,2026-03-22
SYN-00096,2026-08-09
SYN-00096,2026-08-09
SYN-00097,2026-08-15
SYN-00098,2026-03-09
SYN-00098,2026-04-11
SYN-00098,2026-04-11
SYN-00099,2025-12-18
SYN-00099,2025-12-18
SYN-00099,2026-02-21
SYN-00099,2026-02-21
SYN-00100,2025-10-19
SYN-00100,2026-02-13
SYN-00100,2026-02-13
SYN-00101,2026-08-12
SYN-00101,2026-12-08
SYN-00101,2026-12-08
SYN-00102,2026-04-09
SYN-00102,2026-09-08
SYN-00102,2026-09-08
SYN-00103,2026-01-31
SYN-00103,2026-06-07
SYN-00103,2026-06-07
SYN-00104,2026-08-03
SYN-00105,2025-11-21
SYN-00105,2026-02-17
SYN-00105,2026-02-17
SYN-00106,2026-03-31
SYN-00106,2026-09-04
SYN-00106,2026-09-04
SYN-00107,2025-09-03
SYN-00107,2025-10-08
SYN-00107,2025-10-08
SYN-00108,2025-10-08
SYN-00108,2026-03-09
SYN-00108,2026-03-09
SYN-00109,2025-10-25
SYN-00109,2025-11-24
SYN-00109,2025-11-24
SYN-00110,2026-04-15
SYN-00110,2026-09-21
SYN-00110,2026-09-21
SYN-00111,2026-06-09
SYN-00111,2026-10-21
SYN-00111,2026-10-21
SYN-00112,2026-07-16
SYN-00112,2026-12-28
SYN-00112,2026-12-28
SYN-00113,2025-12-17
SYN-00113,2026-05-04
SYN-00113,2026-05-04
SYN-00114,2025-11-06
SYN-00114,2026-05-01
SYN-00114,2026-05-01
SYN-00115,2026-06-09
SYN-00115,2026-07-27
SYN-00115,2026-07-27
SYN-00116,2026-01-26
SYN-00116,2026-03-22
SYN-00116,2026-03-22
SYN-00117,2026-08-10
SYN-00117,2026-11-26
SYN-00117,2026-11-26
SYN-00118,2025-09-13
SYN-00118,2025-11-22
SYN-00118,2025-11-22
SYN-00119,2026-03-23
SYN-00119,2026-07-17
SYN-00119,2026-07-17
SYN-00120,2026-05-15
SYN-00120,2026-06-26
SYN-00120,2026-06-26
SYN-00121,2026-03-02
SYN-00121,2026-05-03
SYN-00121,2026-05-03
SYN-00122,2025-11-18
SYN-00122,2025-11-18
SYN-00122,2026-01-21
SYN-00122,2026-01-21
SYN-00123,2026-06-09
SYN-00123,2026-10-30
SYN-00123,2026-10-30
SYN-00124,2025-11-13
SYN-00124,2025-11-13
SYN-00124,2026-01-24
SYN-00124,2026-01-24
SYN-00125,2025-10-22
SYN-00125,2026-02-23
SYN-00125,2026-02-23
SYN-00126,2025-10-17
SYN-00126,2026-01-18
SYN-00126,2026-01-18
SYN-00127,2026-02-26
SYN-00127,2026-06-28
SYN-00127,2026-06-28
SYN-00128,2026-06-20
SYN-00128,2026-09-04
SYN-00128,2026-09-04
SYN-00129,2025-12-26
SYN-00129,2026-05-29
SYN-00129,2026-05-29
SYN-00130,2026-07-04
SYN-00130,2026-09-25
SYN-00130,2026-09-25
SYN-00131,2026-04-03
SYN-00131,2026-08-25
SYN-00131,2026-08-25
SYN-00132,2026-05-18
SYN-00132,2026-07-03
SYN-00132,2026-07-03
SYN-00133,2026-07-29
SYN-00133,2026-12-20
SYN-00133,2026-12-20
SYN-00134,2026-06-22
SYN-00134,2026-10-11
SYN-00134,2026-10-11
SYN-00135,2026-05-31
SYN-00135,2026-07-02
SYN-00135,2026-07-02
SYN-00136,2026-02-28
SYN-00136,2026-08-17
SYN-00136,2026-08-17
SYN-00137,2026-05-22
SYN-00137,2026-08-27
SYN-00137,2026-08-27
SYN-00138,2025-10-27
SYN-00138,2026-01-15
SYN-00138,2026-01-15
SYN-00138,2026-01-15
SYN-00139,2026-06-10
SYN-00139,2026-07-25
SYN-00139,2026-07-25
SYN-00140,2026-05-11
SYN-00140,2026-10-23
SYN-00140,2026-10-23
SYN-00141,2025-10-12
SYN-00141,2026-03-09
SYN-00141,2026-03-09
SYN-00142,2025-12-15
SYN-00142,2026-02-19
SYN-00142,2026-02-19
SYN-00143,2025-11-09
SYN-00143,2026-01-13
SYN-00143,2026-01-13
SYN-00143,2026-01-13
SYN-00144,2026-05-17
SYN-00144,2026-05-17
SYN-00144,2026-09-29
SYN-00144,2026-09-29
SYN-00145,2026-08-04
SYN-00145,2026-09-18
SYN-00145,2026-09-18
SYN-00146,2026-08-21
SYN-00147,2026-01-30
SYN-00147,2026-01-30
SYN-00147,2026-05-14
SYN-00147,2026-05-14
SYN-00148,2026-05-26
SYN-00148,2026-08-09
SYN-00148,2026-08-09
SYN-00149,2026-07-05
SYN-00149,2026-09-11
SYN-00149,2026-09-11
SYN-00150,2025-12-30
SYN-00150,2026-07-02
SYN-00150,2026-07-02
SYN-00151,2026-07-27
SYN-00151,2026-12-01
SYN-00151,2026-12-01
SYN-00152,2025-12-01
SYN-00152,2026-02-10
SYN-00152,2026-02-10
SYN-00153,2026-07-19
SYN-00153,2026-11-11
SYN-00153,2026-11-11
SYN-00154,2025-12-13
SYN-00154,2026-04-10
SYN-00154,2026-04-10
SYN-00155,2026-01-24
SYN-00155,2026-06-02
SYN-00155,2026-06-02
SYN-00156,2026-02-11
SYN-00156,2026-04-01
SYN-00156,2026-04-01
SYN-00157,2025-11-05
SYN-00157,2025-12-25
SYN-00157,2025-12-25
SYN-00158,2026-02-27
SYN-00158,2026-07-18
SYN-00158,2026-07-18
SYN-00159,2025-09-02
SYN-00159,2025-10-12
SYN-00159,2025-10-12
SYN-00160,2026-06-03
SYN-00160,2026-08-18
SYN-00160,2026-08-18
SYN-00161,2026-01-13
SYN-00161,2026-07-04
SYN-00161,2026-07-04
SYN-00162,2026-06-08
SYN-00162,2026-08-18
SYN-00162,2026-08-18
SYN-00163,2026-08-26
SYN-00164,2025-11-27
SYN-00164,2026-01-09
SYN-00164,2026-01-09
SYN-00165,2026-06-15
SYN-00165,2026-10-28
SYN-00165,2026-10-28
SYN-00166,2025-11-19
SYN-00166,2026-01-12
SYN-00166,2026-01-12
SYN-00167,2026-06-16
SYN-00167,2026-09-27
SYN-00167,2026-09-27
SYN-00168,2026-06-19
SYN-00168,2026-08-10
SYN-00168,2026-08-10
SYN-00169,2026-03-25
SYN-00169,2026-09-30
SYN-00169,2026-09-30
SYN-00169,2026-09-30
SYN-00170,2026-01-15
SYN-00170,2026-05-25
SYN-00170,2026-05-25
SYN-00171,2026-02-22
SYN-00171,2026-05-28
SYN-00171,2026-05-28
SYN-00172,2025-11-23
SYN-00172,2025-11-23
SYN-00172,2026-03-18
SYN-00172,2026-03-18
SYN-00173,2026-03-11
SYN-00173,2026-06-18
SYN-00173,2026-06-18
SYN-00174,2025-12-12
SYN-00174,2026-06-16
SYN-00174,2026-06-16
SYN-00175,2025-09-28
SYN-00175,2025-12-19
SYN-00175,2025-12-19
SYN-00176,2025-10-12
SYN-00176,2026-04-26
SYN-00176,2026-04-26
SYN-00177,2026-07-20
SYN-00178,2026-05-28
SYN-00178,2026-05-28
SYN-00178,2026-10-01
SYN-00178,2026-10-01
SYN-00179,2026-06-12
SYN-00179,2026-11-16
SYN-00179,2026-11-16
SYN-00180,2025-12-31
SYN-00180,2026-05-16
SYN-00180,2026-05-16
SYN-00181,2025-10-06
SYN-00181,2025-12-02
SYN-00181,2025-12-02
SYN-00181,2025-12-02
SYN-00182,2026-02-17
SYN-00182,2026-07-27
SYN-00182,2026-07-27
SYN-00183,2025-10-17
SYN-00183,2025-12-30
SYN-00183,2025-12-30
SYN-00184,2026-01-27
SYN-00184,2026-01-27
SYN-00184,2026-03-20
SYN-00184,2026-03-20
SYN-00185,2025-11-29
SYN-00185,2026-03-03
SYN-00185,2026-03-03
SYN-00186,2026-04-01
SYN-00186,2026-09-10
SYN-00186,2026-09-10
SYN-00187,2026-07-08
SYN-00187,2026-12-19
SYN-00187,2026-12-19
SYN-00188,2026-06-21
SYN-00188,2026-09-26
SYN-00188,2026-09-26
SYN-00189,2025-11-10
SYN-00189,2025-12-19
SYN-00189,2025-12-19
SYN-00190,2026-01-02
SYN-00190,2026-02-12
SYN-00190,2026-02-12
SYN-00190,2026-02-12
SYN-00191,2026-01-05
SYN-00191,2026-06-08
SYN-00191,2026-06-08
SYN-00192,2026-01-12
SYN-00192,2026-07-11
SYN-00192,2026-07-11
SYN-00193,2025-12-01
SYN-00193,2026-03-05
SYN-00193,2026-03-05
SYN-00194,2026-05-05
SYN-00194,2026-08-21
SYN-00194,2026-08-21
SYN-00194,2026-08-21
SYN-00195,2026-01-15
SYN-00195,2026-07-31
SYN-00195,2026-07-31
SYN-00196,2025-12-07
SYN-00196,2026-01-16
SYN-00196,2026-01-16
SYN-00197,2026-02-18
SYN-00197,2026-06-04
SYN-00197,2026-06-04
SYN-00198,2025-11-17
SYN-00198,2026-03-08
SYN-00198,2026-03-08
SYN-00199,2026-01-27
SYN-00199,2026-04-14
SYN-00199,2026-04-14
SYN-00200,2026-06-18
SYN-00200,2026-07-18
SYN-00200,2026-07-18
SYN-00201,2026-06-08
SYN-00201,2026-10-24
SYN-00201,2026-10-24
SYN-00202,2026-04-30
SYN-00202,2026-07-20
SYN-00202,2026-07-20
SYN-00203,2026-04-17
SYN-00203,2026-06-25
SYN-00203,2026-06-25
SYN-00204,2025-12-24
SYN-00204,2026-03-20
SYN-00204,2026-03-20
SYN-00204,2026-03-20
SYN-00205,2025-10-04
SYN-00205,2026-01-05
SYN-00205,2026-01-05
SYN-00206,2026-06-12
SYN-00206,2026-08-10
SYN-00206,2026-08-10
SYN-00207,2026-04-12
SYN-00207,2026-08-31
SYN-00207,2026-08-31
SYN-00208,2026-07-19
SYN-00208,2026-12-11
SYN-00208,2026-12-11
SYN-00209,2026-07-18
SYN-00209,2026-12-01
SYN-00209,2026-12-01
SYN-00210,2026-06-17
SYN-00210,2026-12-04
SYN-00210,2026-12-04
SYN-00211,2026-06-07
SYN-00211,2026-07-14
SYN-00211,2026-07-14
SYN-00212,2026-08-12
SYN-00213,2026-06-13
SYN-00213,2026-08-11
SYN-00213,2026-08-11
SYN-00214,2026-08-17
SYN-00215,2025-09-22
SYN-00215,2025-12-08
SYN-00215,2025-12-08
SYN-00216,2026-07-03
SYN-00216,2026-09-19
SYN-00216,2026-09-19
SYN-00217,2026-03-31
SYN-00217,2026-06-03
SYN-00217,2026-06-03
SYN-00218,2026-03-30
SYN-00218,2026-07-08
SYN-00218,2026-07-08
SYN-00219,2026-05-29
SYN-00219,2026-09-23
SYN-00219,2026-09-23
SYN-00220,2026-03-19
SYN-00220,2026-09-12
SYN-00220,2026-09-12
SYN-00221,2025-12-13
SYN-00221,2026-05-23
SYN-00221,2026-05-23
SYN-00222,2026-08-24
SYN-00222,2026-12-01
SYN-00222,2026-12-01
SYN-00223,2026-07-16
SYN-00223,2026-10-05
SYN-00223,2026-10-05
SYN-00223,2026-10-05
SYN-00224,2026-05-15
SYN-00224,2026-08-28
SYN-00224,2026-08-28
SYN-00225,2026-08-21
SYN-00226,2026-03-15
SYN-00226,2026-08-13
SYN-00226,2026-08-13
SYN-00227,2026-03-18
SYN-00227,2026-07-13
SYN-00227,2026-07-13
SYN-00227,2026-07-13
SYN-00228,2026-05-23
SYN-00228,2026-08-29
SYN-00228,2026-08-29
SYN-00229,2025-10-31
SYN-00229,2025-12-09
SYN-00229,2025-12-09
SYN-00230,2026-08-09
SYN-00230,2026-12-04
SYN-00230,2026-12-04
SYN-00231,2026-02-10
SYN-00231,2026-05-12
SYN-00231,2026-05-12
SYN-00232,2026-04-20
SYN-00232,2026-07-25
SYN-00232,2026-07-25
SYN-00233,2026-02-13
SYN-00233,2026-05-16
SYN-00233,2026-05-16
SYN-00234,2026-08-08
SYN-00235,2025-10-03
SYN-00235,2025-12-13
SYN-00235,2025-12-13
SYN-00236,2026-03-19
SYN-00236,2026-06-09
SYN-00236,2026-06-09
SYN-00237,2025-09-06
SYN-00237,2025-11-09
SYN-00237,2025-11-09
SYN-00238,2026-06-18
SYN-00238,2026-11-16
SYN-00238,2026-11-16
SYN-00239,2025-10-09
SYN-00239,2025-11-22
SYN-00239,2025-11-22
SYN-00240,2025-12-14
SYN-00240,2026-03-12
SYN-00240,2026-03-12
SYN-00241,2026-01-25
SYN-00241,2026-07-19
SYN-00241,2026-07-19
SYN-00242,2026-02-13
SYN-00242,2026-08-09
SYN-00242,2026-08-09
SYN-00243,2026-06-06
SYN-00243,2026-08-29
SYN-00243,2026-08-29
SYN-00244,2026-05-17
SYN-00244,2026-08-07
SYN-00244,2026-08-07
SYN-00245,2025-11-02
SYN-00245,2026-04-29
SYN-00245,2026-04-29
SYN-00245,2026-04-29
SYN-00246,2026-01-10
SYN-00246,2026-04-04
SYN-00246,2026-04-04
SYN-00247,2026-08-01
SYN-00247,2026-10-08
SYN-00247,2026-10-08
SYN-00248,2025-09-26
SYN-00248,2026-01-12
SYN-00248,2026-01-12
SYN-00249,2025-10-01
SYN-00249,2025-12-03
SYN-00249,2025-12-03
SYN-00250,2026-05-02
SYN-00250,2026-10-08
SYN-00250,2026-10-08
SYN-00251,2025-12-02
SYN-00251,2026-02-12
SYN-00251,2026-02-12
SYN-00252,2026-01-27
SYN-00252,2026-06-06
SYN-00252,2026-06-06
SYN-00252,2026-06-06
SYN-00253,2025-09-25
SYN-00253,2026-02-27
SYN-00253,2026-02-27
SYN-00254,2026-08-20
SYN-00254,2026-11-28
SYN-00254,2026-11-28
SYN-00255,2026-03-17
SYN-00255,2026-09-18
SYN-00255,2026-09-18
SYN-00256,2026-06-14
SYN-00256,2026-10-29
SYN-00256,2026-10-29
SYN-00257,2025-09-25
SYN-00257,2025-11-30
SYN-00257,2025-11-30
SYN-00258,2025-12-15
SYN-00258,2026-06-08
SYN-00258,2026-06-08
SYN-00259,2026-05-03
SYN-00259,2026-08-17
SYN-00259,2026-08-17
SYN-00260,2026-01-31
SYN-00260,2026-04-17
SYN-00260,2026-04-17
SYN-00261,2026-01-07
SYN-00261,2026-05-23
SYN-00261,2026-05-23
SYN-00262,2026-01-20
SYN-00262,2026-05-18
SYN-00262,2026-05-18
SYN-00263,2026-01-30
SYN-00263,2026-05-01
SYN-00263,2026-05-01
SYN-00264,2026-04-02
SYN-00264,2026-05-11
SYN-00264,2026-05-11
SYN-00265,2026-08-04
SYN-00265,2026-09-13
SYN-00265,2026-09-13
SYN-00266,2026-07-05
SYN-00266,2026-09-20
SYN-00266,2026-09-20
SYN-00267,2026-03-20
SYN-00267,2026-09-03
SYN-00267,2026-09-03
SYN-00268,2025-09-30
SYN-00268,2026-02-04
SYN-00268,2026-02-04
SYN-00269,2025-09-28
SYN-00269,2025-11-21
SYN-00269,2025-11-21
SYN-00270,2026-07-07
SYN-00270,2026-12-27
SYN-00270,2026-12-27
SYN-00271,2025-09-11
SYN-00271,2026-03-19
SYN-00271,2026-03-19
SYN-00272,2026-01-05
SYN-00272,2026-03-08
SYN-00272,2026-03-08
SYN-00273,2026-03-01
SYN-00273,2026-09-02
SYN-00273,2026-09-02
SYN-00274,2025-11-11
SYN-00274,2025-12-17
SYN-00274,2025-12-17
SYN-00274,2025-12-17
SYN-00275,2026-03-29
SYN-00275,2026-09-09
SYN-00275,2026-09-09
SYN-00276,2026-06-02
SYN-00276,2026-07-08
SYN-00276,2026-07-08
SYN-00277,2026-04-23
SYN-00277,2026-06-06
SYN-00277,2026-06-06
SYN-00278,2025-12-15
SYN-00278,2026-06-01
SYN-00278,2026-06-01
SYN-00279,2025-09-01
SYN-00279,2026-02-13
SYN-00279,2026-02-13
SYN-00279,2026-02-13
SYN-00280,2026-03-09
SYN-00280,2026-05-12
SYN-00280,2026-05-12
SYN-00281,2025-12-21
SYN-00281,2026-06-08
SYN-00281,2026-06-08
SYN-00282,2026-07-09
SYN-00282,2026-10-17
SYN-00282,2026-10-17
SYN-00283,2026-01-27
SYN-00283,2026-05-26
SYN-00283,2026-05-26
SYN-00284,2025-09-24
SYN-00284,2026-04-11
SYN-00284,2026-04-11
SYN-00285,2025-10-26
SYN-00285,2025-12-30
SYN-00285,2025-12-30
SYN-00286,2026-03-04
SYN-00286,2026-06-08
SYN-00286,2026-06-08
SYN-00287,2026-07-13
SYN-00287,2026-10-13
SYN-00287,2026-10-13
SYN-00288,2025-11-25
SYN-00288,2026-05-25
SYN-00288,2026-05-25
SYN-00289,2025-10-27
SYN-00289,2026-01-27
SYN-00289,2026-01-27
SYN-00290,2026-05-24
SYN-00290,2026-10-17
SYN-00290,2026-10-17
SYN-00291,2025-09-29
SYN-00291,2025-11-26
SYN-00291,2025-11-26
SYN-00292,2026-04-09
SYN-00292,2026-04-09
SYN-00292,2026-08-19
SYN-00292,2026-08-19
SYN-00293,2026-04-28
SYN-00293,2026-10-06
SYN-00293,2026-10-06
SYN-00294,2026-02-08
SYN-00294,2026-03-26
SYN-00294,2026-03-26
SYN-00295,2025-12-17
SYN-00295,2026-06-11
SYN-00295,2026-06-11
SYN-00296,2026-03-28
SYN-00296,2026-04-29
SYN-00296,2026-04-29
SYN-00297,2025-12-31
SYN-00297,2026-05-07
SYN-00297,2026-05-07
SYN-00298,2025-10-26
SYN-00298,2026-04-14
SYN-00298,2026-04-14
SYN-00299,2026-04-01
SYN-00299,2026-05-11
SYN-00299,2026-05-11
SYN-00300,2026-02-27
SYN-00300,2026-04-06
SYN-00300,2026-04-06
SYN-00301,2026-01-13
SYN-00301,2026-07-26
SYN-00301,2026-07-26
SYN-00302,2026-01-05
SYN-00302,2026-03-18
SYN-00302,2026-03-18
SYN-00303,2026-08-11
SYN-00304,2025-12-25
SYN-00304,2026-04-16
SYN-00304,2026-04-16
SYN-00305,2026-07-24
SYN-00306,2025-12-17
SYN-00306,2026-03-19
SYN-00306,2026-03-19
SYN-00307,2026-03-27
SYN-00307,2026-09-17
SYN-00307,2026-09-17
SYN-00308,2026-06-05
SYN-00308,2026-07-31
SYN-00308,2026-07-31
SYN-00309,2026-03-20
SYN-00309,2026-06-29
SYN-00309,2026-06-29
SYN-00310,2026-07-27
SYN-00310,2026-09-26
SYN-00310,2026-09-26
SYN-00311,2026-06-12
SYN-00311,2026-12-28
SYN-00311,2026-12-28
SYN-00312,2025-11-22
SYN-00312,2026-03-10
SYN-00312,2026-03-10
SYN-00313,2025-11-20
SYN-00313,2026-01-09
SYN-00313,2026-01-09
SYN-00314,2026-01-26
SYN-00314,2026-03-11
SYN-00314,2026-03-11
SYN-00315,2026-03-07
SYN-00315,2026-06-11
SYN-00315,2026-06-11
SYN-00316,2025-12-05
SYN-00316,2026-05-28
SYN-00316,2026-05-28
SYN-00317,2026-05-27
SYN-00317,2026-08-02
SYN-00317,2026-08-02
SYN-00318,2025-12-17
SYN-00318,2026-05-03
SYN-00318,2026-05-03
SYN-00319,2026-08-19
SYN-00319,2026-10-31
SYN-00319,2026-10-31
SYN-00320,2026-02-12
SYN-00320,2026-07-10
SYN-00320,2026-07-10
SYN-00321,2026-05-02
SYN-00321,2026-06-28
SYN-00321,2026-06-28
SYN-00322,2026-01-24
SYN-00322,2026-01-24
SYN-00322,2026-05-06
SYN-00322,2026-05-06
SYN-00323,2026-02-20
SYN-00323,2026-08-05
SYN-00323,2026-08-05
SYN-00324,2025-09-08
SYN-00324,2025-11-19
SYN-00324,2025-11-19
SYN-00325,2026-01-13
SYN-00325,2026-05-20
SYN-00325,2026-05-20
SYN-00326,2026-03-27
SYN-00326,2026-08-28
SYN-00326,2026-08-28
SYN-00327,2026-06-20
SYN-00327,2026-09-15
SYN-00327,2026-09-15
SYN-00328,2026-02-20
SYN-00328,2026-07-18
SYN-00328,2026-07-18
SYN-00329,2026-04-16
SYN-00329,2026-06-21
SYN-00329,2026-06-21
SYN-00330,2026-03-17
SYN-00330,2026-09-06
SYN-00330,2026-09-06
SYN-00331,2026-03-01
SYN-00331,2026-08-10
SYN-00331,2026-08-10
SYN-00332,2026-03-26
SYN-00332,2026-09-26
SYN-00332,2026-09-26
