case_id,stage,event_time
SYN-00073,제출,2026-08-09
SYN-00073,종결,2026-11-09
SYN-00073,결과_성공,2026-11-09
SYN-00073,결과_성공,2026-11-09
SYN-00074,제출,2026-05-16
SYN-00074,종결,2026-11-07
SYN-00074,결과_성공,2026-11-07
SYN-00075,제출,2026-05-09
SYN-00075,종결,2026-11-13
SYN-00075,결과_성공,2026-11-13
SYN-00076,제출,2026-05-02
SYN-00076,종결,2026-08-14
SYN-00076,결과_성공,2026-08-14
SYN-00077,제출,2026-08-19
SYN-00077,종결,2026-12-12
SYN-00077,결과_성공,2026-12-12
SYN-00078,제출,2025-10-14
SYN-00078,종결,2025-11-19
SYN-00078,결과_실패,2025-11-19
SYN-00079,제출,2026-02-11
SYN-00079,종결,2026-04-11
SYN-00079,결과_성공,2026-04-11
SYN-00080,제출,2025-09-09
SYN-00080,종결,2025-12-29
SYN-00080,결과_성공,2025-12-29
SYN-00081,제출,2025-12-20
SYN-00081,종결,2026-01-28
SYN-00081,결과_성공,2026-01-28
SYN-00082,제출,2026-07-19
SYN-00082,제출,2026-07-19
SYN-00082,종결,2026-11-16
SYN-00082,결과_성공,2026-11-16
SYN-00083,제출,2025-11-25
SYN-00083,종결,2026-03-19
SYN-00083,결과_실패,2026-03-19
SYN-00084,제출,2026-06-12
SYN-00084,종결,2026-08-12
SYN-00084,결과_성공,2026-08-12
SYN-00085,제출,2026-07-23
SYN-00085,제출,2026-07-23
SYN-00085,종결,2026-12-27
SYN-00085,결과_성공,2026-12-27
SYN-00086,제출,2026-02-13
SYN-00086,종결,2026-07-31
SYN-00086,결과_실패,2026-07-31
SYN-00087,제출,2026-04-06
SYN-00087,종결,2026-09-17
SYN-00087,결과_성공,2026-09-17
SYN-00087,종결,2026-09-17
SYN-00088,제출,2026-08-21
SYN-00089,제출,2026-07-23
SYN-00089,종결,2026-12-02
SYN-00089,결과_성공,2026-12-02
SYN-00090,제출,2026-07-18
SYN-00090,종결,2026-09-17
SYN-00090,결과_성공,2026-09-17
SYN-00091,제출,2026-04-22
SYN-00091,종결,2026-08-03
SYN-00091,결과_성공,2026-08-03
SYN-00092,제출,2026-05-20
SYN-00092,종결,2026-09-20
SYN-00092,결과_성공,2026-09-20
SYN-00092,결과_성공,2026-09-20
SYN-00093,제출,2025-09-10
SYN-00093,종결,2026-03-17
SYN-00093,결과_성공,2026-03-17
SYN-00094,제출,2026-06-18
SYN-00094,종결,2027-01-02
SYN-00094,결과_성공,2027-01-02
SYN-00095,제출,2026-05-23
SYN-00095,종결,2026-11-25
SYN-00095,결과_성공,2026-11-25
SYN-00096,제출,2026-03-22
SYN-00096,종결,2026-08-09
SYN-00096,결과_성공,2026-08-09
SYN-00097,제출,2026-08-15
SYN-00098,제출,2026-03-09
SYN-00098,종결,2026-04-11
SYN-00098,결과_성공,2026-04-11
SYN-00099,제출,2025-12-18
SYN-00099,제출,2025-12-18
SYN-00099,종결,2026-02-21
SYN-00099,결과_성공,2026-02-21
SYN-00100,제출,2025-10-19
SYN-00100,종결,2026-02-13
SYN-00100,결과_성공,2026-02-13
SYN-00101,제출,2026-08-12
SYN-00101,종결,2026-12-08
SYN-00101,결과_성공,2026-12-08
SYN-00102,제출,2026-04-09
SYN-00102,종결,2026-09-08
SYN-00102,결과_성공,2026-09-08
SYN-00103,제출,2026-01-31
SYN-00103,종결,2026-06-07
SYN-00103,결과_성공,2026-06-07
SYN-00104,제출,2026-08-03
SYN-00105,제출,2025-11-21
SYN-00105,종결,2026-02-17
SYN-00105,결과_성공,2026-02-17
SYN-00106,제출,2026-03-31
SYN-00106,종결,2026-09-04
SYN-00106,결과_성공,2026-09-04
SYN-00107,제출,2025-09-03
SYN-00107,종결,2025-10-08
SYN-00107,결과_성공,2025-10-08
SYN-00108,제출,2025-10-08
SYN-00108,종결,2026-03-09
SYN-00108,결과_성공,2026-03-09
SYN-00109,제출,2025-10-25
SYN-00109,종결,2025-11-24
SYN-00109,결과_성공,2025-11-24
SYN-00110,제출,2026-04-15
SYN-00110,종결,2026-09-21
SYN-00110,결과_성공,2026-09-21
SYN-00111,제출,2026-06-09
SYN-00111,종결,2026-10-21
SYN-00111,결과_실패,2026-10-21
SYN-00112,제출,2026-07-16
SYN-00112,종결,2026-12-28
SYN-00112,결과_성공,2026-12-28
SYN-00113,제출,2025-12-17
SYN-00113,종결,2026-05-04
SYN-00113,결과_성공,2026-05-04
SYN-00114,제출,2025-11-06
SYN-00114,종결,2026-05-01
SYN-00114,결과_실패,2026-05-01
SYN-00115,제출,2026-06-09
SYN-00115,종결,2026-07-27
SYN-00115,결과_성공,2026-07-27
SYN-00116,제출,2026-01-26
SYN-00116,종결,2026-03-22
SYN-00116,결과_성공,2026-03-22
SYN-00117,제출,2026-08-10
SYN-00117,종결,2026-11-26
SYN-00117,결과_성공,2026-11-26
SYN-00118,제출,2025-09-13
SYN-00118,종결,2025-11-22
SYN-00118,결과_성공,2025-11-22
SYN-00119,제출,2026-03-23
SYN-00119,종결,2026-07-17
SYN-00119,결과_성공,2026-07-17
SYN-00120,제출,2026-05-15
SYN-00120,종결,2026-06-26
SYN-00120,결과_성공,2026-06-26
SYN-00121,제출,2026-03-02
SYN-00121,종결,2026-05-03
SYN-00121,결과_성공,2026-05-03
SYN-00122,제출,2025-11-18
SYN-00122,제출,2025-11-18
SYN-00122,종결,2026-01-21
SYN-00122,결과_성공,2026-01-21
SYN-00123,제출,2026-06-09
SYN-00123,종결,2026-10-30
SYN-00123,결과_실패,2026-10-30
SYN-00124,제출,2025-11-13
SYN-00124,제출,2025-11-13
SYN-00124,종결,2026-01-24
SYN-00124,결과_성공,2026-01-24
SYN-00125,제출,2025-10-22
SYN-00125,종결,2026-02-23
SYN-00125,결과_성공,2026-02-23
SYN-00126,제출,2025-10-17
SYN-00126,종결,2026-01-18
SYN-00126,결과_성공,2026-01-18
SYN-00127,제출,2026-02-26
SYN-00127,종결,2026-06-28
SYN-00127,결과_성공,2026-06-28
SYN-00128,제출,2026-06-20
SYN-00128,종결,2026-09-04
SYN-00128,결과_성공,2026-09-04
SYN-00129,제출,2025-12-26
SYN-00129,종결,2026-05-29
SYN-00129,결과_성공,2026-05-29
SYN-00130,제출,2026-07-04
SYN-00130,종결,2026-09-25
SYN-00130,결과_성공,2026-09-25
SYN-00131,제출,2026-04-03
SYN-00131,종결,2026-08-25
SYN-00131,결과_실패,2026-08-25
SYN-00132,제출,2026-05-18
SYN-00132,종결,2026-07-03
SYN-00132,결과_실패,2026-07-03
SYN-00133,제출,2026-07-29
SYN-00133,종결,2026-12-20
SYN-00133,결과_성공,2026-12-20
SYN-00134,제출,2026-06-22
SYN-00134,종결,2026-10-11
SYN-00134,결과_성공,2026-10-11
SYN-00135,제출,2026-05-31
SYN-00135,종결,2026-07-02
SYN-00135,결과_실패,2026-07-02
SYN-00136,제출,2026-02-28
SYN-00136,종결,2026-08-17
SYN-00136,결과_성공,2026-08-17
SYN-00137,제출,2026-05-22
SYN-00137,종결,2026-08-27
SYN-00137,결과_성공,2026-08-27
SYN-00138,제출,2025-10-27
SYN-00138,종결,2026-01-15
SYN-00138,결과_성공,2026-01-15
SYN-00138,종결,2026-01-15
SYN-00139,제출,2026-06-10
SYN-00139,종결,2026-07-25
SYN-00139,결과_성공,2026-07-25
SYN-00140,제출,2026-05-11
SYN-00140,종결,2026-10-23
SYN-00140,결과_실패,2026-10-23
SYN-00141,제출,2025-10-12
SYN-00141,종결,2026-03-09
SYN-00141,결과_실패,2026-03-09
SYN-00142,제출,2025-12-15
SYN-00142,종결,2026-02-19
SYN-00142,결과_성공,2026-02-19
SYN-00143,제출,2025-11-09
SYN-00143,종결,2026-01-13
SYN-00143,결과_성공,2026-01-13
SYN-00143,종결,2026-01-13
SYN-00144,제출,2026-05-17
SYN-00144,제출,2026-05-17
SYN-00144,종결,2026-09-29
SYN-00144,결과_성공,2026-09-29
SYN-00145,제출,2026-08-04
SYN-00145,종결,2026-09-18
SYN-00145,결과_성공,2026-09-18
SYN-00146,제출,2026-08-21
SYN-00147,제출,2026-01-30
SYN-00147,제출,2026-01-30
SYN-00147,종결,2026-05-14
SYN-00147,결과_성공,2026-05-14
SYN-00148,제출,2026-05-26
SYN-00148,종결,2026-08-09
SYN-00148,결과_성공,2026-08-09
SYN-00149,제출,2026-07-05
SYN-00149,종결,2026-09-11
SYN-00149,결과_성공,2026-09-11
SYN-00150,제출,2025-12-30
SYN-00150,종결,2026-07-02
SYN-00150,결과_성공,2026-07-02
SYN-00151,제출,2026-07-27
SYN-00151,종결,2026-12-01
SYN-00151,결과_성공,2026-12-01
SYN-00152,제출,2025-12-01
SYN-00152,종결,2026-02-10
SYN-00152,결과_성공,2026-02-10
SYN-00153,제출,2026-07-19
SYN-00153,종결,2026-11-11
SYN-00153,결과_성공,2026-11-11
SYN-00154,제출,2025-12-13
SYN-00154,종결,2026-04-10
SYN-00154,결과_성공,2026-04-10
SYN-00155,제출,2026-01-24
SYN-00155,종결,2026-06-02
SYN-00155,결과_성공,2026-06-02
SYN-00156,제출,2026-02-11
SYN-00156,종결,2026-04-01
SYN-00156,결과_성공,2026-04-01
SYN-00157,제출,2025-11-05
SYN-00157,종결,2025-12-25
SYN-00157,결과_성공,2025-12-25
SYN-00158,제출,2026-02-27
SYN-00158,종결,2026-07-18
SYN-00158,결과_성공,2026-07-18
SYN-00159,제출,2025-09-02
SYN-00159,종결,2025-10-12
SYN-00159,결과_성공,2025-10-12
SYN-00160,제출,2026-06-03
SYN-00160,종결,2026-08-18
SYN-00160,결과_성공,2026-08-18
SYN-00161,제출,2026-01-13
SYN-00161,종결,2026-07-04
SYN-00161,결과_성공,2026-07-04
SYN-00162,제출,2026-06-08
SYN-00162,종결,2026-08-18
SYN-00162,결과_성공,2026-08-18
SYN-00163,제출,2026-08-26
SYN-00164,제출,2025-11-27
SYN-00164,종결,2026-01-09
SYN-00164,결과_실패,2026-01-09
SYN-00165,제출,2026-06-15
SYN-00165,종결,2026-10-28
SYN-00165,결과_성공,2026-10-28
SYN-00166,제출,2025-11-19
SYN-00166,종결,2026-01-12
SYN-00166,결과_성공,2026-01-12
SYN-00167,제출,2026-06-16
SYN-00167,종결,2026-09-27
SYN-00167,결과_성공,2026-09-27
SYN-00168,제출,2026-06-19
SYN-00168,종결,2026-08-10
SYN-00168,결과_실패,2026-08-10
SYN-00169,제출,2026-03-25
SYN-00169,종결,2026-09-30
SYN-00169,결과_성공,2026-09-30
SYN-00169,결과_성공,2026-09-30
SYN-00170,제출,2026-01-15
SYN-00170,종결,2026-05-25
SYN-00170,결과_성공,2026-05-25
SYN-00171,제출,2026-02-22
SYN-00171,종결,2026-05-28
SYN-00171,결과_성공,2026-05-28
SYN-00172,제출,2025-11-23
SYN-00172,제출,2025-11-23
SYN-00172,종결,2026-03-18
SYN-00172,결과_성공,2026-03-18
SYN-00173,제출,2026-03-11
SYN-00173,종결,2026-06-18
SYN-00173,결과_성공,2026-06-18
SYN-00174,제출,2025-12-12
SYN-00174,종결,2026-06-16
SYN-00174,결과_성공,2026-06-16
SYN-00175,제출,2025-09-28
SYN-00175,종결,2025-12-19
SYN-00175,결과_성공,2025-12-19
SYN-00176,제출,2025-10-12
SYN-00176,종결,2026-04-26
SYN-00176,결과_성공,2026-04-26
SYN-00177,제출,2026-07-20
SYN-00178,제출,2026-05-28
SYN-00178,제출,2026-05-28
SYN-00178,종결,2026-10-01
SYN-00178,결과_성공,2026-10-01
SYN-00179,제출,2026-06-12
SYN-00179,종결,2026-11-16
SYN-00179,결과_성공,2026-11-16
SYN-00180,제출,2025-12-31
SYN-00180,종결,2026-05-16
SYN-00180,결과_성공,2026-05-16
SYN-00181,제출,2025-10-06
SYN-00181,종결,2025-12-02
SYN-00181,결과_성공,2025-12-02
SYN-00181,종결,2025-12-02
SYN-00182,제출,2026-02-17
SYN-00182,종결,2026-07-27
SYN-00182,결과_성공,2026-07-27
SYN-00183,제출,2025-10-17
SYN-00183,종결,2025-12-30
SYN-00183,결과_성공,2025-12-30
SYN-00184,제출,2026-01-27
SYN-00184,제출,2026-01-27
SYN-00184,종결,2026-03-20
SYN-00184,결과_성공,2026-03-20
SYN-00185,제출,2025-11-29
SYN-00185,종결,2026-03-03
SYN-00185,결과_실패,2026-03-03
SYN-00186,제출,2026-04-01
SYN-00186,종결,2026-09-10
SYN-00186,결과_성공,2026-09-10
SYN-00187,제출,2026-07-08
SYN-00187,종결,2026-12-19
SYN-00187,결과_성공,2026-12-19
SYN-00188,제출,2026-06-21
SYN-00188,종결,2026-09-26
SYN-00188,결과_성공,2026-09-26
SYN-00189,제출,2025-11-10
SYN-00189,종결,2025-12-19
SYN-00189,결과_성공,2025-12-19
SYN-00190,제출,2026-01-02
SYN-00190,종결,2026-02-12
SYN-00190,결과_실패,2026-02-12
SYN-00190,결과_실패,2026-02-12
SYN-00191,제출,2026-01-05
SYN-00191,종결,2026-06-08
SYN-00191,결과_실패,2026-06-08
SYN-00192,제출,2026-01-12
SYN-00192,종결,2026-07-11
SYN-00192,결과_실패,2026-07-11
SYN-00193,제출,2025-12-01
SYN-00193,종결,2026-03-05
SYN-00193,결과_실패,2026-03-05
SYN-00194,제출,2026-05-05
SYN-00194,종결,2026-08-21
SYN-00194,결과_성공,2026-08-21
SYN-00194,결과_성공,2026-08-21
SYN-00195,제출,2026-01-15
SYN-00195,종결,2026-07-31
SYN-00195,결과_성공,2026-07-31
SYN-00196,제출,2025-12-07
SYN-00196,종결,2026-01-16
SYN-00196,결과_성공,2026-01-16
SYN-00197,제출,2026-02-18
SYN-00197,종결,2026-06-04
SYN-00197,결과_실패,2026-06-04
SYN-00198,제출,2025-11-17
SYN-00198,종결,2026-03-08
SYN-00198,결과_성공,2026-03-08
SYN-00199,제출,2026-01-27
SYN-00199,종결,2026-04-14
SYN-00199,결과_성공,2026-04-14
SYN-00200,제출,2026-06-18
SYN-00200,종결,2026-07-18
SYN-00200,결과_성공,2026-07-18
SYN-00201,제출,2026-06-08
SYN-00201,종결,2026-10-24
SYN-00201,결과_성공,2026-10-24
SYN-00202,제출,2026-04-30
SYN-00202,종결,2026-07-20
SYN-00202,결과_성공,2026-07-20
SYN-00203,제출,2026-04-17
SYN-00203,종결,2026-06-25
SYN-00203,결과_성공,2026-06-25
SYN-00204,제출,2025-12-24
SYN-00204,종결,2026-03-20
SYN-00204,결과_성공,2026-03-20
SYN-00204,종결,2026-03-20
SYN-00205,제출,2025-10-04
SYN-00205,종결,2026-01-05
SYN-00205,결과_성공,2026-01-05
SYN-00206,제출,2026-06-12
SYN-00206,종결,2026-08-10
SYN-00206,결과_성공,2026-08-10
SYN-00207,제출,2026-04-12
SYN-00207,종결,2026-08-31
SYN-00207,결과_성공,2026-08-31
SYN-00208,제출,2026-07-19
SYN-00208,종결,2026-12-11
SYN-00208,결과_성공,2026-12-11
SYN-00209,제출,2026-07-18
SYN-00209,종결,2026-12-01
SYN-00209,결과_실패,2026-12-01
SYN-00210,제출,2026-06-17
SYN-00210,종결,2026-12-04
SYN-00210,결과_성공,2026-12-04
SYN-00211,제출,2026-06-07
SYN-00211,종결,2026-07-14
SYN-00211,결과_성공,2026-07-14
SYN-00212,제출,2026-08-12
SYN-00213,제출,2026-06-13
SYN-00213,종결,2026-08-11
SYN-00213,결과_실패,2026-08-11
SYN-00214,제출,2026-08-17
SYN-00215,제출,2025-09-22
SYN-00215,종결,2025-12-08
SYN-00215,결과_성공,2025-12-08
SYN-00216,제출,2026-07-03
SYN-00216,종결,2026-09-19
SYN-00216,결과_성공,2026-09-19
SYN-00217,제출,2026-03-31
SYN-00217,종결,2026-06-03
SYN-00217,결과_성공,2026-06-03
SYN-00218,제출,2026-03-30
SYN-00218,종결,2026-07-08
SYN-00218,결과_실패,2026-07-08
SYN-00219,제출,2026-05-29
SYN-00219,종결,2026-09-23
SYN-00219,결과_성공,2026-09-23
SYN-00220,제출,2026-03-19
SYN-00220,종결,2026-09-12
SYN-00220,결과_성공,2026-09-12
SYN-00221,제출,2025-12-13
SYN-00221,종결,2026-05-23
SYN-00221,결과_성공,2026-05-23
SYN-00222,제출,2026-08-24
SYN-00222,종결,2026-12-01
SYN-00222,결과_성공,2026-12-01
SYN-00223,제출,2026-07-16
SYN-00223,종결,2026-10-05
SYN-00223,결과_성공,2026-10-05
SYN-00223,종결,2026-10-05
SYN-00224,제출,2026-05-15
SYN-00224,종결,2026-08-28
SYN-00224,결과_성공,2026-08-28
SYN-00225,제출,2026-08-21
SYN-00226,제출,2026-03-15
SYN-00226,종결,2026-08-13
SYN-00226,결과_성공,2026-08-13
SYN-00227,제출,2026-03-18
SYN-00227,종결,2026-07-13
SYN-00227,결과_실패,2026-07-13
SYN-00227,종결,2026-07-13
SYN-00228,제출,2026-05-23
SYN-00228,종결,2026-08-29
SYN-00228,결과_성공,2026-08-29
SYN-00229,제출,2025-10-31
SYN-00229,종결,2025-12-09
SYN-00229,결과_성공,2025-12-09
SYN-00230,제출,2026-08-09
SYN-00230,종결,2026-12-04
SYN-00230,결과_실패,2026-12-04
SYN-00231,제출,2026-02-10
SYN-00231,종결,2026-05-12
SYN-00231,결과_성공,2026-05-12
SYN-00232,제출,2026-04-20
SYN-00232,종결,2026-07-25
SYN-00232,결과_성공,2026-07-25
SYN-00233,제출,2026-02-13
SYN-00233,종결,2026-05-16
SYN-00233,결과_성공,2026-05-16
SYN-00234,제출,2026-08-08
SYN-00235,제출,2025-10-03
SYN-00235,종결,2025-12-13
SYN-00235,결과_성공,2025-12-13
SYN-00236,제출,2026-03-19
SYN-00236,종결,2026-06-09
SYN-00236,결과_실패,2026-06-09
SYN-00237,제출,2025-09-06
SYN-00237,종결,2025-11-09
SYN-00237,결과_성공,2025-11-09
SYN-00238,제출,2026-06-18
SYN-00238,종결,2026-11-16
SYN-00238,결과_실패,2026-11-16
SYN-00239,제출,2025-10-09
SYN-00239,종결,2025-11-22
SYN-00239,결과_실패,2025-11-22
SYN-00240,제출,2025-12-14
SYN-00240,종결,2026-03-12
SYN-00240,결과_실패,2026-03-12
SYN-00241,제출,2026-01-25
SYN-00241,종결,2026-07-19
SYN-00241,결과_성공,2026-07-19
SYN-00242,제출,2026-02-13
SYN-00242,종결,2026-08-09
SYN-00242,결과_성공,2026-08-09
SYN-00243,제출,2026-06-06
SYN-00243,종결,2026-08-29
SYN-00243,결과_성공,2026-08-29
SYN-00244,제출,2026-05-17
SYN-00244,종결,2026-08-07
SYN-00244,결과_성공,2026-08-07
SYN-00245,제출,2025-11-02
SYN-00245,종결,2026-04-29
SYN-00245,결과_성공,2026-04-29
SYN-00245,결과_성공,2026-04-29
SYN-00246,제출,2026-01-10
SYN-00246,종결,2026-04-04
SYN-00246,결과_성공,2026-04-04
SYN-00247,제출,2026-08-01
SYN-00247,종결,2026-10-08
SYN-00247,결과_성공,2026-10-08
SYN-00248,제출,2025-09-26
SYN-00248,종결,2026-01-12
SYN-00248,결과_성공,2026-01-12
SYN-00249,제출,2025-10-01
SYN-00249,종결,2025-12-03
SYN-00249,결과_성공,2025-12-03
SYN-00250,제출,2026-05-02
SYN-00250,종결,2026-10-08
SYN-00250,결과_실패,2026-10-08
SYN-00251,제출,2025-12-02
SYN-00251,종결,2026-02-12
SYN-00251,결과_성공,2026-02-12
SYN-00252,제출,2026-01-27
SYN-00252,종결,2026-06-06
SYN-00252,결과_성공,2026-06-06
SYN-00252,종결,2026-06-06
SYN-00253,제출,2025-09-25
SYN-00253,종결,2026-02-27
SYN-00253,결과_성공,2026-02-27
SYN-00254,제출,2026-08-20
SYN-00254,종결,2026-11-28
SYN-00254,결과_성공,2026-11-28
SYN-00255,제출,2026-03-17
SYN-00255,종결,2026-09-18
SYN-00255,결과_성공,2026-09-18
SYN-00256,제출,2026-06-14
SYN-00256,종결,2026-10-29
SYN-00256,결과_성공,2026-10-29
SYN-00257,제출,2025-09-25
SYN-00257,종결,2025-11-30
SYN-00257,결과_성공,2025-11-30
SYN-00258,제출,2025-12-15
SYN-00258,종결,2026-06-08
SYN-00258,결과_성공,2026-06-08
SYN-00259,제출,2026-05-03
