case_id,host_identified,country
SYN-00358,N,미국
SYN-00359,Y,해외
SYN-00360,Y,미국
SYN-00361,Y,해외
SYN-00362,N,미국
SYN-00363,N,해외
SYN-00364,N,미국
SYN-00365,Y,미국
SYN-00366,N,미국
SYN-00367,Y,미국
SYN-00368,N,미국
SYN-00369,Y,해외
SYN-00370,N,해외
SYN-00371,N,해외
SYN-00372,N,미국
SYN-00373,Y,해외
SYN-00374,N,해외
SYN-00375,N,해외
SYN-00376,Y,미국
SYN-00377,Y,
SYN-00378,Y,해외
SYN-00379,N,미국
SYN-00380,N,
SYN-00381,N,해외
SYN-00382,N,미국
SYN-00383,N,미국
SYN-00384,N,미국
SYN-00385,Y,미국
SYN-00386,N,해외
SYN-00387,N,미국
SYN-00388,N,해외
SYN-00389,N,해외
SYN-00390,N,해외
SYN-00391,N,해외
SYN-00392,N,해외
SYN-00393,N,미상
SYN-00394,N,
SYN-00395,Y,해외
SYN-00396,N,미국
SYN-00397,N,미국
SYN-00398,Y,해외
SYN-00399,Y,미국
SYN-00400,N,해외
SYN-00401,N,해외
SYN-00402,Y,해외
SYN-00403,N,해외
SYN-00404,N,미국
SYN-00405,N,미국
SYN-00406,Y,미국
SYN-00407,Y,미국
SYN-00408,N,미국
SYN-00409,N,해외
SYN-00410,N,미국
SYN-00411,N,해외
SYN-00412,N,해외
SYN-00413,N,미국
SYN-00414,N,미국
SYN-00415,Y,미국
SYN-00416,N,미국
SYN-00417,N,해외
SYN-00418,N,미국
SYN-00419,N,해외
SYN-00420,N,해외
SYN-00421,N,미국
SYN-00422,N,해외
SYN-00423,N,해외
SYN-00424,N,해외
SYN-00425,N,미국
SYN-00426,Y,해외
SYN-00427,N,미국
SYN-00428,Y,해외
SYN-00429,Y,미국
SYN-00430,N,해외
SYN-00431,Y,해외
SYN-00432,N,미국
SYN-00433,N,해외
SYN-00434,Y,미국
SYN-00435,Y,
SYN-00436,N,해외
SYN-00437,N,미국
SYN-00438,N,해외
SYN-00439,N,미국
SYN-00440,Y,미국
SYN-00441,N,미국
SYN-00442,Y,미국
SYN-00443,N,미국
SYN-00444,N,미국
SYN-00445,N,미국
SYN-00446,N,해외
SYN-00447,N,해외
SYN-00448,N,미국
SYN-00449,Y,해외
SYN-00450,Y,미국
SYN-00451,N,해외
SYN-00452,N,해외
SYN-00453,N,해외
SYN-00454,N,미국
SYN-00455,N,미국
SYN-00456,N,해외
SYN-00457,N,미국
SYN-00458,Y,해외
SYN-00459,N,해외
SYN-00460,N,미국
SYN-00461,N,미국
SYN-00462,N,미국
SYN-00463,N,미국
SYN-00464,Y,해외
SYN-00465,N,
SYN-00466,N,해외
SYN-00467,Y,미국
SYN-00468,N,
SYN-00469,N,해외
SYN-00470,N,미국
SYN-00471,N,미국
SYN-00472,N,
SYN-00473,Y,미국
SYN-00474,N,미상
SYN-00475,N,미국
SYN-00476,Y,미국
SYN-00477,Y,미국
SYN-00478,N,해외
SYN-00479,N,미국
SYN-00480,Y,해외
SYN-00481,N,미국
SYN-00482,N,해외
SYN-00483,N,미국
SYN-00484,N,해외
SYN-00485,N,
SYN-00486,Y,해외
SYN-00487,N,해외
SYN-00488,N,해외
SYN-00489,Y,
SYN-00490,Y,해외
SYN-00491,N,미국
SYN-00492,N,
SYN-00493,Y,해외
SYN-00494,Y,
SYN-00495,N,해외
SYN-00496,N,해외
SYN-00497,Y,미국
SYN-00498,N,
SYN-00499,N,미국
SYN-00500,Y,해외
SYN-00501,N,해외
SYN-00502,N,미국
SYN-00503,N,미국
SYN-00504,N,미국
SYN-00505,N,해외
SYN-00506,N,
SYN-00507,N,해외
SYN-00508,N,해외
SYN-00509,N,미국
SYN-00510,N,해외
SYN-00511,N,미국
SYN-00512,N,해외
SYN-00513,N,해외
SYN-00514,Y,
SYN-00515,N,미국
SYN-00516,N,해외
SYN-00517,N,미국
SYN-00518,N,해외
SYN-00519,N,미국
SYN-00520,N,해외
SYN-00521,N,해외
SYN-00522,Y,미국
SYN-00523,N,해외
SYN-00524,N,미국
SYN-00525,Y,미국
SYN-00526,N,해외
SYN-00527,Y,해외
SYN-00528,Y,해외
SYN-00529,N,해외
SYN-00530,N,미국
SYN-00531,Y,미국
SYN-00532,Y,해외
SYN-00533,N,미국
SYN-00534,N,해외
SYN-00535,N,해외
SYN-00536,N,해외
SYN-00537,Y,해외
SYN-00538,Y,해외
SYN-00539,N,미국
SYN-00540,N,해외
SYN-00541,N,해외
SYN-00542,N,미국
SYN-00543,N,
SYN-00544,N,미국
SYN-00545,N,미국
SYN-00546,Y,해외
SYN-00547,N,미국
SYN-00548,Y,미국
SYN-00549,N,해외
SYN-00550,Y,미국
SYN-00551,N,해외
SYN-00552,N,미국
SYN-00553,N,해외
SYN-00554,N,
SYN-00555,N,해외
SYN-00556,N,미국
SYN-00557,N,해외
SYN-00558,N,해외
SYN-00559,Y,
SYN-00560,N,해외
SYN-00561,Y,해외
SYN-00562,Y,
SYN-00563,N,미국
SYN-00564,N,해외
SYN-00565,N,미국
SYN-00566,N,미국
SYN-00567,Y,해외
SYN-00568,N,해외
SYN-00569,N,해외
SYN-00570,N,해외
SYN-00571,N,해외
SYN-00572,N,해외
SYN-00573,N,미국
SYN-00574,N,
SYN-00575,N,미국
SYN-00576,N,해외
SYN-00577,Y,미국
SYN-00578,Y,미국
SYN-00579,N,해외
SYN-00580,Y,해외
SYN-00581,N,미국
SYN-00582,N,
SYN-00583,N,미국
SYN-00584,Y,해외
SYN-00585,N,미국
SYN-00586,Y,미국
SYN-00587,N,해외
SYN-00588,Y,미국
SYN-00589,N,미국
SYN-00590,Y,미국
SYN-00591,Y,미국
SYN-00592,Y,미국
SYN-00593,Y,해외
SYN-00594,N,해외
SYN-00595,N,해외
SYN-00596,N,미국
SYN-00597,Y,해외
SYN-00598,Y,미국
SYN-00599,Y,해외
SYN-00600,N,해외
SYN-00601,Y,해외
SYN-00602,N,해외
SYN-00603,N,해외
SYN-00604,N,미국
SYN-00605,N,미국
SYN-00606,N,해외
SYN-00607,N,미국
SYN-00608,N,미국
SYN-00609,Y,미국
SYN-00610,N,미국
SYN-00611,N,미국
SYN-00612,N,해외
SYN-00613,Y,
SYN-00614,N,해외
SYN-00615,Y,
SYN-00616,N,미국
SYN-00617,N,미국
SYN-00618,N,미국
SYN-00619,N,해외
SYN-00620,Y,해외
SYN-00621,N,해외
SYN-00622,N,미국
SYN-00623,N,해외
SYN-00624,Y,해외
SYN-00625,N,해외
SYN-00626,N,해외
SYN-00627,N,미국
SYN-00628,N,해외
SYN-00629,Y,미국
SYN-00630,N,해외
SYN-00631,N,해외
SYN-00632,N,해외
SYN-00633,Y,해외
SYN-00634,Y,미국
SYN-00635,N,해외
SYN-00636,N,미국
SYN-00637,N,
SYN-00638,N,미국
SYN-00639,N,
SYN-00640,N,미국
SYN-00641,N,미국
SYN-00642,N,미국
SYN-00643,N,해외
SYN-00644,N,미국
SYN-00645,N,해외
SYN-00646,N,해외
SYN-00647,N,
SYN-00648,N,미국
SYN-00649,Y,해외
SYN-00650,N,미국
SYN-00651,N,미국
SYN-00652,Y,미국
SYN-00653,N,미국
SYN-00654,N,해외
SYN-00655,Y,미국
SYN-00656,N,해외
SYN-00657,N,미국
SYN-00658,N,
SYN-00659,Y,미국
SYN-00660,N,해외
SYN-00661,N,미국
SYN-00662,N,미국
SYN-00663,N,미국
SYN-00664,N,미국
SYN-00665,N,해외
SYN-00666,N,미국
SYN-00667,N,미국
SYN-00668,N,해외
SYN-00669,N,미국
SYN-00670,Y,해외
SYN-00671,Y,해외
SYN-00672,N,미국
SYN-00673,Y,미국
SYN-00674,Y,해외
SYN-00675,Y,
SYN-00676,Y,해외
SYN-00677,Y,해외
SYN-00678,N,미국
SYN-00679,N,미국
SYN-00680,Y,미국
SYN-00681,Y,미국
SYN-00682,N,해외
SYN-00683,N,해외
SYN-00684,Y,
SYN-00685,N,해외
SYN-00686,N,해외
SYN-00687,N,해외
SYN-00688,Y,해외
SYN-00689,N,미국
SYN-00690,N,미국
SYN-00691,N,해외
SYN-00692,Y,해외
SYN-00693,N,미국
SYN-00694,Y,해외
SYN-00695,N,미국
SYN-00696,N,
SYN-00697,Y,미국
SYN-00698,N,해외
SYN-00699,N,해외
SYN-00700,N,
SYN-00701,N,해외
SYN-00702,Y,미국
SYN-00703,Y,해외
SYN-00704,N,해외
SYN-00705,N,미국
SYN-00706,N,해외
SYN-00707,N,미국
SYN-00708,N,해외
SYN-00709,Y,미국
SYN-00710,N,해외
SYN-00711,N,해외
SYN-00712,Y,미국
SYN-00713,Y,해외
SYN-00714,Y,해외
SYN-00715,Y,해외
SYN-00716,N,미국
SYN-00717,N,해외
SYN-00718,Y,미국
SYN-00719,N,미상
SYN-00720,N,
SYN-00721,N,
SYN-00722,Y,해외
SYN-00723,Y,미국
SYN-00724,N,해외
SYN-00725,N,해외
SYN-00726,N,미국
SYN-00727,N,미국
SYN-00728,N,
SYN-00729,N,미국
SYN-00730,N,해외
SYN-00731,Y,미국
SYN-00732,N,해외
SYN-00733,Y,미국
SYN-00734,N,해외
SYN-00735,N,해외
SYN-00736,N,해외
SYN-00737,N,해외
SYN-00738,Y,미국
SYN-00739,N,해외
SYN-00740,N,미국
SYN-00741,Y,미국
SYN-00742,Y,해외
SYN-00743,N,해외
SYN-00744,Y,미국
SYN-00745,Y,미국
SYN-00746,Y,미국
SYN-00747,N,해외
SYN-00748,N,미국
SYN-00749,Y,해외
SYN-00750,N,미국
SYN-00751,N,미국
SYN-00752,Y,미국
SYN-00753,N,해외
SYN-00754,N,해외
SYN-00755,N,해외
SYN-00756,Y,미국
SYN-00757,N,미국
SYN-00758,N,해외
SYN-00759,Y,해외
SYN-00760,N,해외
SYN-00761,N,해외
SYN-00762,Y,미국
SYN-00763,N,해외
SYN-00764,N,미국
SYN-00765,N,해외
SYN-00766,N,해외
SYN-00767,Y,해외
SYN-00768,N,미국
SYN-00769,N,해외
SYN-00770,Y,미국
SYN-00771,N,
SYN-00772,N,미국
SYN-00773,N,해외
SYN-00774,N,미국
SYN-00775,N,해외
SYN-00776,N,해외
SYN-00777,N,
SYN-00778,N,해외
SYN-00779,N,미국
SYN-00780,N,해외
SYN-00781,N,해외
SYN-00782,N,미국
SYN-00783,N,미국
SYN-00784,N,해외
SYN-00785,N,해외
SYN-00786,N,미국
SYN-00787,N,해외
SYN-00788,N,해외
SYN-00789,N,해외
SYN-00790,N,미국
SYN-00791,N,미국
SYN-00792,N,미국
SYN-00793,N,해외
SYN-00794,N,해외
SYN-00795,N,
SYN-00796,N,해외
SYN-00797,N,미국
SYN-00798,N,해외
SYN-00799,N,해외
SYN-00800,N,해외
SYN-00801,N,해외
SYN-00802,N,미국
SYN-00803,N,미국
SYN-00804,N,해외
SYN-00805,N,미국
SYN-00806,N,해외
SYN-00807,N,미국
SYN-00808,N,미국
SYN-00809,N,해외
SYN-00810,N,해외
SYN-00811,N,미국
SYN-00812,Y,해외
SYN-00813,N,해외
SYN-00814,N,미국
SYN-00815,N,미국
SYN-00816,N,미국
SYN-00817,Y,해외
SYN-00818,N,해외
SYN-00819,N,해외
SYN-00820,N,해외
SYN-00821,Y,해외
SYN-00822,Y,해외
SYN-00823,N,미국
SYN-00824,N,미국
SYN-00825,N,해외
SYN-00826,Y,미국
SYN-00827,N,해외
SYN-00828,Y,해외
SYN-00829,N,미국
SYN-00830,N,해외
SYN-00831,N,해외
SYN-00832,N,해외
SYN-00833,N,해외
SYN-00834,N,해외
SYN-00835,N,해외
SYN-00836,N,미국
SYN-00837,N,해외
SYN-00838,N,미국
SYN-00839,Y,해외
SYN-00840,Y,해외
SYN-00841,N,미국
SYN-00842,N,해외
SYN-00843,N,미국
SYN-00844,N,미국
SYN-00845,N,미국
SYN-00846,N,미국
SYN-00847,N,미국
SYN-00848,N,미국
SYN-00849,Y,미국
SYN-00850,Y,해외
SYN-00851,N,미국
SYN-00852,Y,미국
SYN-00853,N,미국
SYN-00854,N,미국
SYN-00855,N,해외
SYN-00856,N,해외
SYN-00857,N,해외
SYN-00858,N,미국
SYN-00859,Y,미국
SYN-00860,Y,미국
SYN-00861,Y,
SYN-00862,N,해외
SYN-00863,Y,미국
SYN-00864,N,해외
SYN-00865,N,미국
SYN-00866,N,
SYN-00867,N,미국
SYN-00868,N,해외
SYN-00869,N,해외
SYN-00870,N,미국
SYN-00871,N,해외
SYN-00872,N,해외
SYN-00873,N,해외
SYN-00874,N,해외
SYN-00875,N,해외
SYN-00876,N,해외
SYN-00877,Y,
SYN-00878,N,미국
SYN-00879,N,
SYN-00880,N,해외
SYN-00881,N,미국
SYN-00882,N,미국
SYN-00883,N,해외
SYN-00884,Y,해외
SYN-00885,N,미국
SYN-00886,Y,미국
SYN-00887,N,해외
SYN-00888,N,미국
SYN-00889,Y,해외
SYN-00890,Y,미국
SYN-00891,N,해외
SYN-00892,N,미국
SYN-00893,Y,미국
SYN-00894,N,해외
SYN-00895,N,미국
SYN-00896,Y,해외
SYN-00897,N,해외
SYN-00898,N,해외
SYN-00899,Y,해외
SYN-00900,Y,해외
SYN-00901,N,해외
SYN-00902,N,미국
SYN-00903,Y,
SYN-00904,Y,
SYN-00905,N,미국
SYN-00906,N,
SYN-00907,N,미국
SYN-00908,N,미국
SYN-00909,N,미국
SYN-00910,N,미국
SYN-00911,N,미국
SYN-00912,N,해외
SYN-00913,N,해외
SYN-00914,Y,미국
SYN-00915,N,미국
SYN-00916,N,해외
SYN-00917,N,미국
SYN-00918,N,해외
SYN-00919,Y,미국
SYN-00920,N,미국
SYN-00921,N,
SYN-00922,N,해외
SYN-00923,N,미국
SYN-00924,N,해외
SYN-00925,N,해외
SYN-00926,N,해외
SYN-00927,N,해외
SYN-00928,N,미국
SYN-00929,N,해외
SYN-00930,N,해외
SYN-00931,N,해외
SYN-00932,N,해외
SYN-00933,N,해외
SYN-00934,N,미국
SYN-00935,N,해외
SYN-00936,Y,해외
SYN-00937,N,해외
SYN-00938,N,미국
SYN-00939,N,해외
SYN-00940,N,미국
SYN-00941,N,해외
SYN-00942,N,해외
SYN-00943,N,
SYN-00944,Y,해외
SYN-00945,N,해외
SYN-00946,N,해외
SYN-00947,Y,해외
SYN-00948,N,해외
SYN-00949,N,해외
SYN-00950,N,해외
SYN-00951,N,미국
SYN-00952,N,해외
SYN-00953,N,해외
SYN-00954,N,미국
SYN-00955,N,해외
SYN-00956,Y,해외
SYN-00957,N,해외
SYN-00958,N,해외
SYN-00959,Y,미국
SYN-00960,N,미국
SYN-00961,N,미국
SYN-00962,N,미국
SYN-00963,N,해외
SYN-00964,N,해외
SYN-00965,N,미국
SYN-00966,N,해외
SYN-00967,N,미국
SYN-00968,N,미국
SYN-00969,Y,
SYN-00970,Y,
SYN-00971,N,해외
SYN-00972,N,해외
SYN-00973,N,해외
SYN-00974,N,해외
SYN-00975,N,미국
SYN-00976,N,미국
SYN-00977,N,미국
SYN-00978,Y,미국
SYN-00979,Y,해외
SYN-00980,N,미국
SYN-00981,Y,해외
SYN-00982,N,해외
SYN-00983,Y,미국
SYN-00984,N,
SYN-00985,N,미국
SYN-00986,Y,해외
SYN-00987,N,미국
SYN-00988,N,해외
SYN-00989,N,해외
SYN-00990,Y,해외
SYN-00991,N,해외
SYN-00992,Y,미국
SYN-00993,Y,
SYN-00994,N,해외
SYN-00995,N,미국
SYN-00996,Y,해외
SYN-00997,Y,
SYN-00998,Y,해외
SYN-00999,N,해외
SYN-01000,N,해외
SYN-01001,Y,미국
SYN-01002,Y,
SYN-01003,N,미국
SYN-01004,Y,해외
SYN-01005,N,미국
SYN-01006,N,미국
SYN-01007,N,미국
SYN-01008,Y,미국
SYN-01009,N,미국
SYN-01010,Y,해외
SYN-01011,N,미국
SYN-01012,N,해외
SYN-01013,Y,해외
SYN-01014,N,미국
SYN-01015,Y,미국
SYN-01016,Y,
SYN-01017,N,미국
SYN-01018,N,미국
SYN-01019,N,해외
SYN-01020,N,해외
SYN-01021,N,해외
SYN-01022,N,미국
SYN-01023,Y,미국
SYN-01024,N,해외
SYN-01025,N,미국
SYN-01026,N,해외
SYN-01027,N,해외
SYN-01028,N,미국
SYN-01029,N,미국
SYN-01030,Y,미국
SYN-01031,N,해외
SYN-01032,N,해외
SYN-01033,Y,해외
SYN-01034,N,해외
SYN-01035,Y,해외
SYN-01036,N,미국
SYN-01037,N,해외
SYN-01038,N,미국
SYN-01039,Y,미국
SYN-01040,Y,해외
SYN-01041,N,해외
SYN-01042,N,미국
SYN-01043,Y,미국
SYN-01044,N,해외
SYN-01045,N,해외
SYN-01046,N,해외
SYN-01047,Y,미국
SYN-01048,N,해외
SYN-01049,Y,해외
SYN-01050,N,해외
SYN-01051,Y,미국
SYN-01052,N,미국
SYN-01053,N,해외
SYN-01054,Y,미국
SYN-01055,N,해외
SYN-01056,Y,미국
SYN-01057,N,미국
SYN-01058,N,미국
SYN-01059,Y,
SYN-01060,N,미국
SYN-01061,Y,미국
SYN-01062,Y,해외
SYN-01063,N,미국
SYN-01064,Y,해외
SYN-01065,N,미국
SYN-01066,Y,미국
SYN-01067,Y,해외
SYN-01068,Y,
SYN-01069,N,해외
SYN-01070,N,미국
SYN-01071,N,미국
SYN-01072,N,미국
SYN-01073,N,미국
SYN-01074,Y,미국
SYN-01075,N,해외
SYN-01076,N,해외
SYN-01077,N,미국
SYN-01078,N,미상
SYN-01079,Y,해외
SYN-01080,N,해외
SYN-01081,N,미국
SYN-01082,Y,미국
SYN-01083,N,미국
SYN-01084,N,해외
SYN-01085,N,미국
SYN-01086,Y,해외
SYN-01087,N,해외
SYN-01088,N,미국
SYN-01089,N,해외
SYN-01090,Y,미국
SYN-01091,N,미국
SYN-01092,N,미국
SYN-01093,N,해외
SYN-01094,N,미국
SYN-01095,Y,해외
SYN-01096,Y,해외
SYN-01097,N,미국
SYN-01098,N,해외
SYN-01099,N,미국
SYN-01100,Y,해외
SYN-01101,N,미국
SYN-01102,N,미국
SYN-01103,N,미국
SYN-01104,Y,미국
SYN-01105,N,해외
SYN-01106,N,해외
SYN-01107,N,해외
SYN-01108,N,미국
SYN-01109,N,해외
SYN-01110,N,미국
SYN-01111,Y,미국
SYN-01112,N,해외
SYN-01113,Y,해외
SYN-01114,N,해외
SYN-01115,Y,미국
SYN-01116,Y,미국
SYN-01117,N,해외
SYN-01118,Y,미국
SYN-01119,N,미국
SYN-01120,N,미국
SYN-01121,N,미국
SYN-01122,N,해외
SYN-01123,N,미국
SYN-01124,N,해외
SYN-01125,Y,해외
SYN-01126,N,미국
SYN-01127,N,해외
SYN-01128,Y,미국
SYN-01129,N,미국
SYN-01130,N,미국
SYN-01131,N,해외
SYN-01132,N,미국
SYN-01133,N,미국
SYN-01134,N,해외
SYN-01135,Y,미국
SYN-01136,N,미국
SYN-01137,N,해외
SYN-01138,N,미국
SYN-01139,N,해외
SYN-01140,Y,미국
SYN-01141,N,해외
SYN-01142,N,
SYN-01143,N,해외
SYN-01144,N,미국
SYN-01145,Y,해외
SYN-01146,N,미국
SYN-01147,N,해외
SYN-01148,N,해외
SYN-01149,N,해외
SYN-01150,N,해외
SYN-01151,N,해외
SYN-01152,Y,해외
